id,titre,auteur,annee,type,langue,themes,urlDrive,description,physique
1,Mouvementements,Emma Bigé,,article,fr,phénoménologie corps & mouvement,https://drive.google.com/file/d/1KorxuDY8mBQUDECuRjZ5BmZ0VsCqn6uP/view?usp=drivesdk,,non
2,Conscience et Technique Alexander,Jacques Gaillard,,article,fr,phénoménologie fondements,https://drive.google.com/file/d/1vpYlE_nnckMEE-e88gxzqa3dbBkJ0pKu/view?usp=drivesdk,,non
3,Du corps objet au corps sujet,Jacques Gaillard,,article,fr,phénoménologie corps & mouvement,https://drive.google.com/file/d/1f42rNUa7oQ-B1_F5sT43oa8cL91fc2dd/view?usp=drivesdk,,non
4,Habiter son corps : la méthode Alexander,"Hardy, Schifrine, Tomasella",2006,livre,fr,fondements pédagogie,https://drive.google.com/file/d/11IJTe0EaNco5i5l4nZq6vcyy9LPdCUwP/view?usp=drivesdk,,non
5,La Technique Alexander : maîtrisez votre posture et votre vie,Richard Brennan,,livre,fr,fondements pédagogie,https://drive.google.com/file/d/1jLYxse0DvtoZPNwVRGn8UBSx-D4oEujH/view?usp=drivesdk,,oui
6,Posture et verticalité,,,article,fr,corps & mouvement physiologie,https://drive.google.com/file/d/1GAJu8ZiAGgE0IiDtFnEt6-lVRxDECVf3/view?usp=drivesdk,,non
7,Conscience du corps,Richard Shusterman,,article,fr,phénoménologie corps & mouvement,https://drive.google.com/file/d/1YAIHPZWnticcjO58FiAkZ8LCjULUY3bk/view?usp=drivesdk,,non
8,Inhibition,Michael Gelb,,article,fr,fondements 2ème génération,https://drive.google.com/file/d/1uo8AHEpqSD6Co5OCWDYq40Ag3Q0C7i6z/view?usp=drivesdk,,non
9,Une technique pour les musiciens,Frank Pierce Jones,,article,fr,pédagogie 2ème génération arts,https://drive.google.com/file/d/1NDMJs7SjsMRL2zI-IQZoT2XbRLaMwnwp/view?usp=drivesdk,,non
10,Notes sur la Technique Alexander,Lana Frederick,,article,fr,fondements pédagogie,https://drive.google.com/file/d/1rjHutQOh8e43tNZRvCoVfpgIW3dmkNhh/view?usp=drivesdk,,non
11,Conférence Peter Nobes,Peter Nobes,,transcription,fr,fondements 2ème génération,https://drive.google.com/file/d/12whFI4exC99uaibFuKrdk-uNwGEXKd18/view?usp=drivesdk,,non
12,Danse et Technique Alexander,Eva Karczag,,article,fr,arts corps & mouvement 2ème génération,https://drive.google.com/file/d/1yYcLm2z9L8vyMO7H3HWtrH0Nc89t8gMg/view?usp=drivesdk,,non
13,Neurophenomenology and the Alexander Technique (trad. fr),Rachel Zahn,,article,fr,phénoménologie neurosciences,https://drive.google.com/file/d/1d1BYjI7Ns4TLQdHG4oovf-rDKYgC6cBk/view?usp=drivesdk,,non
14,Neurophenomenology and the Alexander Technique,Rachel Zahn,,article,en,phénoménologie neurosciences,https://drive.google.com/file/d/1KGq-lVxt4Q0RrRCqhzuR-7vcXMThcSxq/view?usp=drivesdk,,non
15,Enkinaesthesia: The Essential Sensuous Background (trad. fr),Susan Stuart,,article,fr,phénoménologie enaction,https://drive.google.com/file/d/1KgNewxjAvLRE7D-dgqx96QutcnhipVWX/view?usp=drivesdk,,non
16,Enkinaesthesia: The Essential Sensuous Background,Susan Stuart,,article,en,phénoménologie enaction,https://drive.google.com/file/d/1weSTw9xMgU3uk57jlv7kOBeLsXarKlhk/view?usp=drivesdk,,non
17,The Union of Two Nervous Systems (trad. fr),Susan Stuart,,article,fr,phénoménologie enaction neurosciences,https://drive.google.com/file/d/1tB_JhWCnhrmeSWZsQ_pHEEUoP2wpC2qm/view?usp=drivesdk,,non
18,The Union of Two Nervous Systems,Susan Stuart,,article,en,phénoménologie enaction neurosciences,https://drive.google.com/file/d/1UGMPO2jZSSFCiPRjizdwtLsXGru2qGoZ/view?usp=drivesdk,,non
19,Direction — Vol.1 N°1,Jeremy Chance (éd.),1985,revue,en,fondements,https://drive.google.com/file/d/1LcWsg5AsxBedjH5K5-h0FAxOcdX73NyN/view?usp=drivesdk,"Editorial (J. Chance) · The Garlick Report (D. Garlick) · Chorus to Extension the Fifth (D. Woodcock) · Psychophysical Unity and the Critical Moment (R. MacLeod)",non
20,Direction — Vol.1 N°2,Jeremy Chance (éd.),1985,revue,en,fondements pédagogie,https://drive.google.com/file/d/1yG-Daq5iRQE0GNDeebDViUqWAQs0YsZ2/view?usp=drivesdk,"Editorial (J. Chance) · The Garlick Report · Words as Communications (J. Clark) · Peace & the Alexander Technique (M. Stenning)",non
21,Direction — Vol.1 N°3,Jeremy Chance (éd.),1985,revue,en,fondements arts,https://drive.google.com/file/d/1c4QTOYVIzC0kz4oUu0v0ieDirIlJSr_L/view?usp=drivesdk,"Editorial · The Garlick Report · New Method of Vocal Respiratory Re-education (F.M. Alexander) · Voice and the Alexander Technique (A. Hough)",non
22,Direction — Vol.1 N°4,Jeremy Chance (éd.),1986,revue,en,fondements 1ère génération,https://drive.google.com/file/d/1bMbS3w5qOwfuqxQCOVHdlbfgZdRVtqUF/view?usp=drivesdk,"Editorial · New Editorial (W. Carrington) · The Garlick Report · Head at the End of its Tether (J.M. Wynhausen) · Respiratory Re-Education (F.M. Alexander)",non
23,Direction — Vol.1 N°5,Jeremy Chance (éd.),1986,revue,en,fondements 1ère génération,https://drive.google.com/file/d/1bhhBmFnjVVaqhxw1xp6dVjO2w75FuzBl/view?usp=drivesdk,"Editorial · The Garlick Report · An Early History of Alexander (M. Rathbone) · Marjory Barlow in Action · Towards Unity (M. Frederick)",non
24,Direction — Vol.1 N°6,Jeremy Chance (éd.),1986,revue,en,fondements physiologie,https://drive.google.com/file/d/1r9QzzdLQIZgybCPAAedOrq67o_R4onbH/view?usp=drivesdk,"Editorial · The Garlick Report · Man - The Tottering Biped: Posture & Locomotion in Higher Primates (P.V. Tobias) · F.M. Alexander and Evolution (J.M.O. Fischer)",non
25,Direction — Vol.1 N°7,Jeremy Chance (éd.),1987,revue,en,fondements physiologie,https://drive.google.com/file/d/1esusS7fE2u9tBd27Ud9FM0zx5Tl-qIO8/view?usp=drivesdk,"Editorial · The Garlick Report · Man - The Tottering Biped Part II: Anatomy of Posture (P.V. Tobias) · F.M. Alexander and Evolution (J.M.O. Fischer)",non
26,Direction — Vol.1 N°8,Jeremy Chance (éd.),1987,revue,en,fondements physiologie,https://drive.google.com/file/d/1VwQrA0yJkuJ9Cgo-Lr3mOGsRZloBIp2d/view?usp=drivesdk,"Editorial · The Garlick Report · Blessed Helicity (T.H. Mathews) · Man - The Tottering Biped Part III: What the Fossils Tell Us (P.V. Tobias)",non
27,Direction — Vol.1 N°9,Jeremy Chance (éd.),1987,revue,en,fondements physiologie,https://drive.google.com/file/d/1OcQOQ8xKSPFX4JaxDijH-ydpNCY6dzPO/view?usp=drivesdk,"Editorial · The Garlick Report · Man: The Tottering Biped Part IV: Uprightness Gravity and Balance (P.V. Tobias) · Friends of Alexander (M. Long)",non
28,Direction — Vol.1 N°10,Jeremy Chance (éd.),1988,revue,en,fondements physiologie,https://drive.google.com/file/d/1EpSZMg3IKiQUSGKol-b7nUacFq2tTRz3/view?usp=drivesdk,"Editorial · The Garlick Report · The Space Between: Stimulus & Response (P. Bondy) · The False Self (M. Arnold) · Man: The Tottering Biped Part V (P.V. Tobias)",non
29,Direction — Vol.2 N°1,Jeremy Chance (éd.),1988,revue,en,fondements pédagogie somatique corps & mouvement,https://drive.google.com/file/d/1nubreagvArScsRjAwVnEfuq9hJx5SIZ6/view?usp=drivesdk,"Editorial (J. Chance & W. Carrington) · The Garlick Report · Equitation/Alexander Glossary · A Feldenkrais practitioner looks at the Alexander Technique (J. Heggie) · Balance and Gravity (T. Roberts)",non
30,Direction — Vol.2 N°2,Jeremy Chance (éd.),1989,revue,en,fondements physiologie,https://drive.google.com/file/d/1CMS9VXQsEAuPid3jAG8Gw4bK0_Ut6RAQ/view?usp=drivesdk,"Editorial · The Garlick Report · Man: The Tottering Biped Part VI: The Role of the Nervous System (P.V. Tobias)",non
31,Direction — Vol.2 N°3,Jeremy Chance (éd.),1989,revue,en,fondements arts,https://drive.google.com/file/d/1qrIlTgqFM8qMTTMByD99dGCDYQAL57Gx/view?usp=drivesdk,"Editorial · The Garlick Report · The Use of the Ear (R. Joudry) · Viewpoint (R. Rickover)",non
32,Direction — Vol.2 N°4,Jeremy Chance (éd.),1990,revue,en,fondements 1ère génération,https://drive.google.com/file/d/1-LaDqiF6N-PSD5PhWPIqVYcLmwfDtrik/view?usp=drivesdk,"Editorial · The Garlick Report · Aphorisms of Marjorie Barstow · FM Alexander & Samuel Butler (J. Staring) · There's More Between the Hips than Meets the Hands (K. Hannan)",non
33,Direction — Vol.2 N°5,Jeremy Chance (éd.),1990,revue,en,fondements pédagogie,https://drive.google.com/file/d/17xHAoQhWbnVv69VsGhQrNYTldz7BDvqR/view?usp=drivesdk,"Editorial · The Garlick Report · On Feet Wide Apart (S. Kaminitz) · Effects of Childhood Trauma (R. Mausner & J. Cohen)",non
34,Le geste et la perception — mouvement corps geste,Hubert Godard,,article,fr,corps & mouvement phénoménologie,https://drive.google.com/file/d/1PFywQ8wu6jIfvTH00gcjH0MHcrseSRW8/view?usp=drivesdk,,non
35,Trous noirs,Hubert Godard,,article,fr,corps & mouvement phénoménologie,https://drive.google.com/file/d/1j6VYgARDKsJ992VADinuBf0lHsf_np2w/view?usp=drivesdk,,non
36,Geste et perception,Hubert Godard,,article,fr,corps & mouvement phénoménologie,https://drive.google.com/file/d/15-LO7uWURR6aiX7RGz44kmEpDGgCEm-p/view?usp=drivesdk,,non
37,Le geste manquant,Hubert Godard,,article,fr,corps & mouvement phénoménologie,https://drive.google.com/file/d/18IbD6LAR0uyXoTi09_iUlmqHwJ9Db6l7/view?usp=drivesdk,,non
38,Regard aveugle,Hubert Godard,,article,fr,corps & mouvement phénoménologie,https://drive.google.com/file/d/1uMG3MyTVDkmT7IaF3HfSIqLbeOiz5luz/view?usp=drivesdk,,non
39,Act Don't React,George Trevelyan,,article,fr,fondements 1ère génération,https://drive.google.com/file/d/1W9G_tvBfFxaZAyIdAE53i3ZkZ3rQLcY6/view?usp=drivesdk,,non
40,Texte Patrick MacDonald,Patrick MacDonald,,article,fr,fondements 1ère génération,https://drive.google.com/file/d/13RYXhKlL-G92dn7kc-Ylezov_gCIB19g/view?usp=drivesdk,,non
41,À propos de donner des directions — Faire et non-faire,Walter Carrington,,transcription,fr,fondements 1ère génération,https://drive.google.com/file/d/1gtnI36MA5eSb66Tfd5BwXle8OV6hXE_2/view?usp=drivesdk,,non
42,Donner les directives,Walter Carrington,,article,fr,fondements 1ère génération,https://drive.google.com/file/d/1EqAEUJ0Z4Sw8MvW4Wo2Qpx0fq9v7Ibau/view?usp=drivesdk,,non
43,L'enseignement de FM Alexander — Conférence Wilfred Barlow,Wilfred Barlow,,transcription,fr,fondements pédagogie 1ère génération,https://drive.google.com/file/d/1rYok9plcIFSNV-Cso1PJ7XsryB6e1NBw/view?usp=drivesdk,,non
44,La fin et les moyens,Aldous Huxley,,article,fr,fondements philosophie,https://drive.google.com/file/d/1qkeKupb8Uwxaupd9KGvvAxu9ogpYzCLF/view?usp=drivesdk,,non
45,L'équilibre fonction de l'intelligence,Walter Carrington,,article,fr,fondements 1ère génération,https://drive.google.com/file/d/1r2WOuucnUn3OdMEWH1iebbfJ43TzEdjK/view?usp=drivesdk,,non
46,Méthode de rééducation respiratoire et vocale,F.M. Alexander,,article,fr,fondements arts,https://drive.google.com/file/d/13SDQQ8x0VyyO3nQrqkou-rQbSGFomGK5/view?usp=drivesdk,,non
47,Looking at Ourselves,David Gorman,,article,en,fondements corps & mouvement,https://drive.google.com/file/d/1-J_JVYLeeyIG0hph9cPWETET3yjF-q0s/view?usp=drivesdk,,non
48,La technique Alexander : maîtrisez votre posture et votre vie,Richard Brennan,,livre,fr,fondements pédagogie,,,oui
49,La méthode Alexander,M.F. Le Foll (trad.),,livre,fr,fondements,,,,oui
50,The elements of skill,Théodore Dimon,,livre,en,fondements pédagogie,,,, oui
51,Aphorisms,Matthias Alexander,,livre,en,fondements,,,, oui
52,Explaining the Alexander Technique,Walter Carrington,,livre,en,fondements 1ère génération,,,, oui
53,Forward and Away Memoirs,Elisabeth Walker,,livre,en,fondements 1ère génération,,,, oui
54,Freedom to Change,Frank Pierce Jones,,livre,en,fondements 2ème génération,,,, oui
55,Technique Alexander pour les musiciens,Pedro De Alcantara,,livre,fr,arts pédagogie,,,, oui
